País,Coffee type,Total_production ,Year
Bolivia (Plurinational State of),Arabica,8880000.0,2000
Brazil,Arabica/Robusta,1878600000.0,2000
Burundi,Arabica/Robusta,29220000.0,2000
Ecuador,Arabica/Robusta,51240000.0,2000
Indonesia,Robusta/Arabica,419220000.0,2000
Madagascar,Robusta,21720000.0,2000
Malawi,Arabica,3780000.0,2000
Papua New Guinea,Arabica/Robusta,62460000.0,2000
Paraguay,Arabica,1320000.0,2000
Peru,Arabica,160560000.0,2000
Rwanda,Arabica,16380000.0,2000
Timor-Leste,Arabica,420000.0,2000
Zimbabwe,Arabica,6540000.0,2000
Congo,Robusta,180000.0,2000
Cuba,Arabica,18720000.0,2000
Dominican Republic,Arabica/Robusta,28020000.0,2000
Haiti,Arabica,25200000.0,2000
Philippines,Robusta/Arabica,20460000.0,2000
Tanzania,Arabica/Robusta,48540000.0,2000
Zambia,Arabica,5580000.0,2000
Cameroon,Robusta/Arabica,66780000.0,2000
Central African Republic,Robusta,6780000.0,2000
Colombia,Arabica,631140000.0,2000
Costa Rica,Arabica,145140000.0,2000
Côte d'Ivoire,Robusta,290760000.0,2000
Democratic Republic of Congo,Robusta/Arabica,21780000.0,2000
El Salvador,Arabica,102240000.0,2000
Equatorial Guinea,Robusta,0.0,2000
Ethiopia,Arabica,186900000.0,2000
Gabon,Robusta,0.0,2000
Ghana,Robusta,4560000.0,2000
Guatemala,Arabica/Robusta,296400000.0,2000
Guinea,Robusta,24000000.0,2000
Guyana,Robusta,180000.0,2000
Honduras,Arabica,160020000.0,2000
India,Robusta/Arabica,301200000.0,2000
Jamaica,Arabica,2220000.0,2000
Kenya,Arabica,60120000.0,2000
Lao People's Democratic Republic,Robusta,12720000.0,2000
Liberia,Robusta,720000.0,2000
Mexico,Arabica/Robusta,288900000.0,2000
Nepal,Arabica,0.0,2000
Nicaragua,Arabica,94320000.0,2000
Nigeria,Robusta,2940000.0,2000
Panama,Arabica,10200000.0,2000
Sierra Leone,Robusta,2940000.0,2000
Sri Lanka,Robusta/Arabica,1980000.0,2000
Thailand,Robusta/Arabica,101520000.0,2000
Togo,Robusta,11820000.0,2000
Trinidad & Tobago,Robusta,960000.0,2000
Uganda,Robusta/Arabica,204060000.0,2000
Venezuela,Arabica,87000000.0,2000
Viet Nam,Robusta/Arabica,890460000.0,2000
Yemen,Arabica,3840000.0,2000
Angola,Robusta/Arabica,1260000.0,2001
Bolivia (Plurinational State of),Arabica,5640000.0,2001
Brazil,Arabica/Robusta,1881900000.0,2001
Burundi,Arabica/Robusta,8640000.0,2001
Ecuador,Arabica/Robusta,47580000.0,2001
Indonesia,Robusta/Arabica,409980000.0,2001
Madagascar,Robusta,8820000.0,2001
Malawi,Arabica,3600000.0,2001
Papua New Guinea,Arabica/Robusta,63780000.0,2001
Paraguay,Arabica,1320000.0,2001
Peru,Arabica,169740000.0,2001
Rwanda,Arabica,17760000.0,2001
Timor-Leste,Arabica,1980000.0,2001
Zimbabwe,Arabica,7260000.0,2001
Congo,Robusta,180000.0,2001
Cuba,Arabica,17100000.0,2001
Dominican Republic,Arabica/Robusta,23220000.0,2001
Haiti,Arabica,24180000.0,2001
Philippines,Robusta/Arabica,15780000.0,2001
Tanzania,Arabica/Robusta,37440000.0,2001
Zambia,Arabica,6000000.0,2001
Cameroon,Robusta/Arabica,41160000.0,2001
Central African Republic,Robusta,4080000.0,2001
Colombia,Arabica,717000000.0,2001
Costa Rica,Arabica,134820000.0,2001
Côte d'Ivoire,Robusta,215760000.0,2001
Democratic Republic of Congo,Robusta/Arabica,25380000.0,2001
El Salvador,Arabica,101640000.0,2001
Equatorial Guinea,Robusta,0.0,2001
Ethiopia,Arabica,242640000.0,2001
Gabon,Robusta,60000.0,2001
Ghana,Robusta,420000.0,2001
Guatemala,Arabica/Robusta,220140000.0,2001
Guinea,Robusta,14160000.0,2001
Guyana,Robusta,300000.0,2001
Honduras,Arabica,182160000.0,2001
India,Robusta/Arabica,288600000.0,2001
Jamaica,Arabica,1860000.0,2001
Kenya,Arabica,59460000.0,2001
Lao People's Democratic Republic,Robusta,15480000.0,2001
Liberia,Robusta,720000.0,2001
Mexico,Arabica/Robusta,266280000.0,2001
Nepal,Arabica,0.0,2001
Nicaragua,Arabica,64740000.0,2001
Nigeria,Robusta,2640000.0,2001
Panama,Arabica,9600000.0,2001
Sierra Leone,Robusta,4740000.0,2001
Sri Lanka,Robusta/Arabica,1920000.0,2001
Thailand,Robusta/Arabica,42840000.0,2001
Togo,Robusta,6720000.0,2001
Trinidad & Tobago,Robusta,960000.0,2001
Uganda,Robusta/Arabica,189480000.0,2001
Venezuela,Arabica,75900000.0,2001
Viet Nam,Robusta/Arabica,785580000.0,2001
Yemen,Arabica,3720000.0,2001
Angola,Robusta/Arabica,3420000.0,2002
Bolivia (Plurinational State of),Arabica,7620000.0,2002
Brazil,Arabica/Robusta,2901120000.0,2002
Burundi,Arabica/Robusta,27240000.0,2002
Ecuador,Arabica/Robusta,34920000.0,2002
Indonesia,Robusta/Arabica,403860000.0,2002
Madagascar,Robusta,26700000.0,2002
Malawi,Arabica,2520000.0,2002
Papua New Guinea,Arabica/Robusta,65100000.0,2002
Paraguay,Arabica,2160000.0,2002
Peru,Arabica,180000000.0,2002
Rwanda,Arabica,19200000.0,2002
Timor-Leste,Arabica,2220000.0,2002
Zimbabwe,Arabica,6600000.0,2002
Congo,Robusta,180000.0,2002
Cuba,Arabica,14340000.0,2002
Dominican Republic,Arabica/Robusta,27300000.0,2002
Haiti,Arabica,22440000.0,2002
Philippines,Robusta/Arabica,15300000.0,2002
Tanzania,Arabica/Robusta,49440000.0,2002
Zambia,Arabica,7140000.0,2002
Cameroon,Robusta/Arabica,48060000.0,2002
Central African Republic,Robusta,5520000.0,2002
Colombia,Arabica,702720000.0,2002
Costa Rica,Arabica,122580000.0,2002
Côte d'Ivoire,Robusta,180600000.0,2002
Democratic Republic of Congo,Robusta/Arabica,20280000.0,2002
El Salvador,Arabica,81660000.0,2002
Equatorial Guinea,Robusta,0.0,2002
Ethiopia,Arabica,245640000.0,2002
Gabon,Robusta,60000.0,2002
Ghana,Robusta,2040000.0,2002
Guatemala,Arabica/Robusta,244200000.0,2002
Guinea,Robusta,19680000.0,2002
Guyana,Robusta,300000.0,2002
Honduras,Arabica,149760000.0,2002
India,Robusta/Arabica,275280000.0,2002
Jamaica,Arabica,2220000.0,2002
Kenya,Arabica,56700000.0,2002
Lao People's Democratic Republic,Robusta,24120000.0,2002
Liberia,Robusta,720000.0,2002
Mexico,Arabica/Robusta,261060000.0,2002
Nepal,Arabica,0.0,2002
Nicaragua,Arabica,70200000.0,2002
Nigeria,Robusta,3000000.0,2002
Panama,Arabica,8400000.0,2002
Sierra Leone,Robusta,2520000.0,2002
Sri Lanka,Robusta/Arabica,2040000.0,2002
Thailand,Robusta/Arabica,43920000.0,2002
Togo,Robusta,4080000.0,2002
Trinidad & Tobago,Robusta,1020000.0,2002
Uganda,Robusta/Arabica,173400000.0,2002
Venezuela,Arabica,89040000.0,2002
Viet Nam,Robusta/Arabica,694440000.0,2002
Yemen,Arabica,3420000.0,2002
Angola,Robusta/Arabica,2280000.0,2003
Bolivia (Plurinational State of),Arabica,6180000.0,2003
Brazil,Arabica/Robusta,1732380000.0,2003
Burundi,Arabica/Robusta,20280000.0,2003
Ecuador,Arabica/Robusta,38460000.0,2003
Indonesia,Robusta/Arabica,384240000.0,2003
Madagascar,Robusta,26100000.0,2003
Malawi,Arabica,2880000.0,2003
Papua New Guinea,Arabica/Robusta,69300000.0,2003
Paraguay,Arabica,2820000.0,2003
Peru,Arabica,161160000.0,2003
Rwanda,Arabica,15960000.0,2003
Timor-Leste,Arabica,2520000.0,2003
Zimbabwe,Arabica,5520000.0,2003
Congo,Robusta,180000.0,2003
Cuba,Arabica,13440000.0,2003
Dominican Republic,Arabica/Robusta,21060000.0,2003
Haiti,Arabica,22440000.0,2003
Philippines,Robusta/Arabica,17580000.0,2003
Tanzania,Arabica/Robusta,36720000.0,2003
Zambia,Arabica,6000000.0,2003
Cameroon,Robusta/Arabica,54000000.0,2003
Central African Republic,Robusta,2580000.0,2003
Colombia,Arabica,663180000.0,2003
Costa Rica,Arabica,113160000.0,2003
Côte d'Ivoire,Robusta,178860000.0,2003
Democratic Republic of Congo,Robusta/Arabica,27060000.0,2003
El Salvador,Arabica,82800000.0,2003
Equatorial Guinea,Robusta,0.0,2003
Ethiopia,Arabica,263640000.0,2003
Gabon,Robusta,0.0,2003
Ghana,Robusta,1080000.0,2003
Guatemala,Arabica/Robusta,216600000.0,2003
Guinea,Robusta,21960000.0,2003
Guyana,Robusta,300000.0,2003
Honduras,Arabica,178080000.0,2003
India,Robusta/Arabica,282480000.0,2003
Jamaica,Arabica,2220000.0,2003
Kenya,Arabica,40380000.0,2003
Lao People's Democratic Republic,Robusta,21660000.0,2003
Liberia,Robusta,300000.0,2003
Mexico,Arabica/Robusta,252060000.0,2003
Nepal,Arabica,60000.0,2003
Nicaragua,Arabica,90540000.0,2003
Nigeria,Robusta,2760000.0,2003
Panama,Arabica,10320000.0,2003
Sierra Leone,Robusta,2160000.0,2003
Sri Lanka,Robusta/Arabica,2220000.0,2003
Thailand,Robusta/Arabica,49620000.0,2003
Togo,Robusta,8640000.0,2003
Trinidad & Tobago,Robusta,960000.0,2003
Uganda,Robusta/Arabica,155940000.0,2003
Venezuela,Arabica,85260000.0,2003
Viet Nam,Robusta/Arabica,920220000.0,2003
Yemen,Arabica,11580000.0,2003
Angola,Robusta/Arabica,900000.0,2004
Bolivia (Plurinational State of),Arabica,9300000.0,2004
Brazil,Arabica/Robusta,2356860000.0,2004
Burundi,Arabica/Robusta,26220000.0,2004
Ecuador,Arabica/Robusta,46800000.0,2004
Indonesia,Robusta/Arabica,452160000.0,2004
Madagascar,Robusta,31320000.0,2004
Malawi,Arabica,1260000.0,2004
Papua New Guinea,Arabica/Robusta,59880000.0,2004
Paraguay,Arabica,2280000.0,2004
Peru,Arabica,205500000.0,2004
Rwanda,Arabica,27000000.0,2004
Timor-Leste,Arabica,1020000.0,2004
Zimbabwe,Arabica,7200000.0,2004
Congo,Robusta,180000.0,2004
Cuba,Arabica,10800000.0,2004
Dominican Republic,Arabica/Robusta,29460000.0,2004
Haiti,Arabica,21900000.0,2004
Philippines,Robusta/Arabica,21300000.0,2004
Tanzania,Arabica/Robusta,45780000.0,2004
Zambia,Arabica,6600000.0,2004
Cameroon,Robusta/Arabica,43620000.0,2004
Central African Republic,Robusta,1740000.0,2004
Colombia,Arabica,685740000.0,2004
Costa Rica,Arabica,112560000.0,2004
Côte d'Ivoire,Robusta,128160000.0,2004
Democratic Republic of Congo,Robusta/Arabica,21600000.0,2004
El Salvador,Arabica,71820000.0,2004
Equatorial Guinea,Robusta,0.0,2004
Ethiopia,Arabica,312780000.0,2004
Gabon,Robusta,0.0,2004
Ghana,Robusta,1080000.0,2004
Guatemala,Arabica/Robusta,222180000.0,2004
Guinea,Robusta,18960000.0,2004
Guyana,Robusta,360000.0,2004
Honduras,Arabica,154500000.0,2004
India,Robusta/Arabica,275460000.0,2004
Jamaica,Arabica,1260000.0,2004
Kenya,Arabica,44160000.0,2004
Lao People's Democratic Republic,Robusta,22740000.0,2004
Liberia,Robusta,360000.0,2004
Mexico,Arabica/Robusta,232020000.0,2004
Nepal,Arabica,60000.0,2004
Nicaragua,Arabica,64080000.0,2004
Nigeria,Robusta,2700000.0,2004
Panama,Arabica,5400000.0,2004
Sierra Leone,Robusta,900000.0,2004
Sri Lanka,Robusta/Arabica,1920000.0,2004
Thailand,Robusta/Arabica,53040000.0,2004
Togo,Robusta,9960000.0,2004
Trinidad & Tobago,Robusta,900000.0,2004
Uganda,Robusta/Arabica,156780000.0,2004
Venezuela,Arabica,79620000.0,2004
Viet Nam,Robusta/Arabica,862200000.0,2004
Yemen,Arabica,12360000.0,2004
Angola,Robusta/Arabica,1500000.0,2005
Bolivia (Plurinational State of),Arabica,6600000.0,2005
Brazil,Arabica/Robusta,1975980000.0,2005
Burundi,Arabica/Robusta,6180000.0,2005
Ecuador,Arabica/Robusta,56100000.0,2005
Indonesia,Robusta/Arabica,549540000.0,2005
Madagascar,Robusta,35940000.0,2005
Malawi,Arabica,1440000.0,2005
Papua New Guinea,Arabica/Robusta,76080000.0,2005
Paraguay,Arabica,2640000.0,2005
Peru,Arabica,149340000.0,2005
Rwanda,Arabica,20220000.0,2005
Timor-Leste,Arabica,1440000.0,2005
Zimbabwe,Arabica,3960000.0,2005
Congo,Robusta,180000.0,2005
Cuba,Arabica,6000000.0,2005
Dominican Republic,Arabica/Robusta,18600000.0,2005
Haiti,Arabica,21360000.0,2005
Philippines,Robusta/Arabica,25920000.0,2005
Tanzania,Arabica/Robusta,48240000.0,2005
Zambia,Arabica,6180000.0,2005
Cameroon,Robusta/Arabica,52200000.0,2005
Central African Republic,Robusta,1380000.0,2005
Colombia,Arabica,717120000.0,2005
Costa Rica,Arabica,99180000.0,2005
Côte d'Ivoire,Robusta,125940000.0,2005
Democratic Republic of Congo,Robusta/Arabica,20160000.0,2005
El Salvador,Arabica,79140000.0,2005
Equatorial Guinea,Robusta,0.0,2005
Ethiopia,Arabica,286740000.0,2005
Gabon,Robusta,60000.0,2005
Ghana,Robusta,720000.0,2005
Guatemala,Arabica/Robusta,220560000.0,2005
Guinea,Robusta,31500000.0,2005
Guyana,Robusta,420000.0,2005
Honduras,Arabica,192240000.0,2005
India,Robusta/Arabica,273960000.0,2005
Jamaica,Arabica,2040000.0,2005
Kenya,Arabica,39600000.0,2005
Lao People's Democratic Republic,Robusta,16800000.0,2005
Liberia,Robusta,300000.0,2005
Mexico,Arabica/Robusta,253500000.0,2005
Nepal,Arabica,60000.0,2005
Nicaragua,Arabica,85920000.0,2005
Nigeria,Robusta,4140000.0,2005
Panama,Arabica,10560000.0,2005
Sierra Leone,Robusta,3600000.0,2005
Sri Lanka,Robusta/Arabica,2100000.0,2005
Thailand,Robusta/Arabica,63840000.0,2005
Togo,Robusta,8400000.0,2005
Trinidad & Tobago,Robusta,900000.0,2005
Uganda,Robusta/Arabica,130500000.0,2005
Venezuela,Arabica,90360000.0,2005
Viet Nam,Robusta/Arabica,830520000.0,2005
Yemen,Arabica,12180000.0,2005
Angola,Robusta/Arabica,2100000.0,2006
Bolivia (Plurinational State of),Arabica,8760000.0,2006
Brazil,Arabica/Robusta,2905920000.0,2006
Burundi,Arabica/Robusta,29880000.0,2006
Ecuador,Arabica/Robusta,62100000.0,2006
Indonesia,Robusta/Arabica,448980000.0,2006
Madagascar,Robusta,35220000.0,2006
Malawi,Arabica,1020000.0,2006
Papua New Guinea,Arabica/Robusta,48420000.0,2006
Paraguay,Arabica,2100000.0,2006
Peru,Arabica,259140000.0,2006
Rwanda,Arabica,21060000.0,2006
Timor-Leste,Arabica,2760000.0,2006
Zimbabwe,Arabica,2700000.0,2006
Congo,Robusta,180000.0,2006
Cuba,Arabica,6300000.0,2006
Dominican Republic,Arabica/Robusta,23220000.0,2006
Haiti,Arabica,21720000.0,2006
Philippines,Robusta/Arabica,26460000.0,2006
Tanzania,Arabica/Robusta,49320000.0,2006
Zambia,Arabica,3360000.0,2006
Cameroon,Robusta/Arabica,49080000.0,2006
Central African Republic,Robusta,6840000.0,2006
Colombia,Arabica,729840000.0,2006
Costa Rica,Arabica,102360000.0,2006
Côte d'Ivoire,Robusta,170880000.0,2006
Democratic Republic of Congo,Robusta/Arabica,22680000.0,2006
El Salvador,Arabica,74040000.0,2006
Equatorial Guinea,Robusta,0.0,2006
Ethiopia,Arabica,333060000.0,2006
Gabon,Robusta,60000.0,2006
Ghana,Robusta,1200000.0,2006
Guatemala,Arabica/Robusta,237000000.0,2006
Guinea,Robusta,28380000.0,2006
Guyana,Robusta,480000.0,2006
Honduras,Arabica,207660000.0,2006
India,Robusta/Arabica,270000000.0,2006
Jamaica,Arabica,2400000.0,2006
Kenya,Arabica,49560000.0,2006
Lao People's Democratic Republic,Robusta,23460000.0,2006
Liberia,Robusta,420000.0,2006
Mexico,Arabica/Robusta,252000000.0,2006
Nepal,Arabica,120000.0,2006
Nicaragua,Arabica,85680000.0,2006
Nigeria,Robusta,3060000.0,2006
Panama,Arabica,10380000.0,2006
Sierra Leone,Robusta,1860000.0,2006
Sri Lanka,Robusta/Arabica,1980000.0,2006
Thailand,Robusta/Arabica,49320000.0,2006
Togo,Robusta,8040000.0,2006
Trinidad & Tobago,Robusta,720000.0,2006
Uganda,Robusta/Arabica,173640000.0,2006
Venezuela,Arabica,94260000.0,2006
Viet Nam,Robusta/Arabica,1160400000.0,2006
Yemen,Arabica,12420000.0,2006
Angola,Robusta/Arabica,2160000.0,2007
Bolivia (Plurinational State of),Arabica,6960000.0,2007
Brazil,Arabica/Robusta,2334660000.0,2007
Burundi,Arabica/Robusta,7980000.0,2007
Ecuador,Arabica/Robusta,57000000.0,2007
Indonesia,Robusta/Arabica,466620000.0,2007
Madagascar,Robusta,36840000.0,2007
Malawi,Arabica,1140000.0,2007
Papua New Guinea,Arabica/Robusta,58080000.0,2007
Paraguay,Arabica,2340000.0,2007
Peru,Arabica,183780000.0,2007
Rwanda,Arabica,13440000.0,2007
Timor-Leste,Arabica,2160000.0,2007
Zimbabwe,Arabica,1860000.0,2007
Congo,Robusta,180000.0,2007
Cuba,Arabica,6600000.0,2007
Dominican Republic,Arabica/Robusta,27900000.0,2007
Haiti,Arabica,21540000.0,2007
Philippines,Robusta/Arabica,26760000.0,2007
Tanzania,Arabica/Robusta,48600000.0,2007
Zambia,Arabica,3660000.0,2007
Cameroon,Robusta/Arabica,47700000.0,2007
Central African Republic,Robusta,2580000.0,2007
Colombia,Arabica,750900000.0,2007
Costa Rica,Arabica,107820000.0,2007
Côte d'Ivoire,Robusta,80280000.0,2007
Democratic Republic of Congo,Robusta/Arabica,24960000.0,2007
El Salvador,Arabica,90300000.0,2007
Equatorial Guinea,Robusta,0.0,2007
Ethiopia,Arabica,358020000.0,2007
Gabon,Robusta,60000.0,2007
Ghana,Robusta,2100000.0,2007
Guatemala,Arabica/Robusta,246000000.0,2007
Guinea,Robusta,19380000.0,2007
Guyana,Robusta,540000.0,2007
Honduras,Arabica,218400000.0,2007
India,Robusta/Arabica,262020000.0,2007
Jamaica,Arabica,1200000.0,2007
Kenya,Arabica,39120000.0,2007
Lao People's Democratic Republic,Robusta,23580000.0,2007
Liberia,Robusta,420000.0,2007
Mexico,Arabica/Robusta,249000000.0,2007
Nepal,Arabica,60000.0,2007
Nicaragua,Arabica,114360000.0,2007
Nigeria,Robusta,2520000.0,2007
Panama,Arabica,10560000.0,2007
Sierra Leone,Robusta,2400000.0,2007
Sri Lanka,Robusta/Arabica,1980000.0,2007
Thailand,Robusta/Arabica,39000000.0,2007
Togo,Robusta,7500000.0,2007
Trinidad & Tobago,Robusta,720000.0,2007
Uganda,Robusta/Arabica,209400000.0,2007
Venezuela,Arabica,91200000.0,2007
Viet Nam,Robusta/Arabica,984300000.0,2007
Yemen,Arabica,11880000.0,2007
Angola,Robusta/Arabica,2280000.0,2008
Bolivia (Plurinational State of),Arabica,7200000.0,2008
Brazil,Arabica/Robusta,3089460000.0,2008
Burundi,Arabica/Robusta,24720000.0,2008
Ecuador,Arabica/Robusta,46260000.0,2008
Indonesia,Robusta/Arabica,576720000.0,2008
Madagascar,Robusta,43680000.0,2008
Malawi,Arabica,1260000.0,2008
Papua New Guinea,Arabica/Robusta,61680000.0,2008
Paraguay,Arabica,1200000.0,2008
Peru,Arabica,232320000.0,2008
Rwanda,Arabica,22140000.0,2008
Timor-Leste,Arabica,2880000.0,2008
Zimbabwe,Arabica,1440000.0,2008
Congo,Robusta,180000.0,2008
Cuba,Arabica,7980000.0,2008
Dominican Republic,Arabica/Robusta,38700000.0,2008
Haiti,Arabica,21540000.0,2008
Philippines,Robusta/Arabica,35220000.0,2008
Tanzania,Arabica/Robusta,71160000.0,2008
Zambia,Arabica,2100000.0,2008
Cameroon,Robusta/Arabica,43500000.0,2008
Central African Republic,Robusta,3600000.0,2008
Colombia,Arabica,519840000.0,2008
Costa Rica,Arabica,90000000.0,2008
Côte d'Ivoire,Robusta,151560000.0,2008
Democratic Republic of Congo,Robusta/Arabica,25320000.0,2008
El Salvador,Arabica,87000000.0,2008
Equatorial Guinea,Robusta,0.0,2008
Ethiopia,Arabica,296940000.0,2008
Gabon,Robusta,120000.0,2008
Ghana,Robusta,1560000.0,2008
Guatemala,Arabica/Robusta,227100000.0,2008
Guinea,Robusta,30300000.0,2008
Guyana,Robusta,600000.0,2008
Honduras,Arabica,207000000.0,2008
India,Robusta/Arabica,244320000.0,2008
Jamaica,Arabica,1920000.0,2008
Kenya,Arabica,32460000.0,2008
Lao People's Democratic Republic,Robusta,24360000.0,2008
Liberia,Robusta,720000.0,2008
Mexico,Arabica/Robusta,279060000.0,2008
Nepal,Arabica,60000.0,2008
Nicaragua,Arabica,86700000.0,2008
Nigeria,Robusta,3000000.0,2008
Panama,Arabica,8940000.0,2008
Sierra Leone,Robusta,5160000.0,2008
Sri Lanka,Robusta/Arabica,1860000.0,2008
Thailand,Robusta/Arabica,40500000.0,2008
Togo,Robusta,8280000.0,2008
Trinidad & Tobago,Robusta,660000.0,2008
Uganda,Robusta/Arabica,200100000.0,2008
Venezuela,Arabica,55920000.0,2008
Viet Nam,Robusta/Arabica,1106280000.0,2008
Yemen,Arabica,13200000.0,2008
Angola,Robusta/Arabica,780000.0,2009
Bolivia (Plurinational State of),Arabica,7680000.0,2009
Brazil,Arabica/Robusta,2638620000.0,2009
Burundi,Arabica/Robusta,6720000.0,2009
Ecuador,Arabica/Robusta,48780000.0,2009
Indonesia,Robusta/Arabica,682800000.0,2009
Madagascar,Robusta,27420000.0,2009
Malawi,Arabica,1020000.0,2009
Papua New Guinea,Arabica/Robusta,62280000.0,2009
Paraguay,Arabica,1200000.0,2009
Peru,Arabica,197160000.0,2009
Rwanda,Arabica,15540000.0,2009
Timor-Leste,Arabica,2820000.0,2009
Zimbabwe,Arabica,1260000.0,2009
Congo,Robusta,180000.0,2009
Cuba,Arabica,5520000.0,2009
Dominican Republic,Arabica/Robusta,21120000.0,2009
Haiti,Arabica,21060000.0,2009
Philippines,Robusta/Arabica,43800000.0,2009
Tanzania,Arabica/Robusta,40500000.0,2009
Zambia,Arabica,1680000.0,2009
Cameroon,Robusta/Arabica,54120000.0,2009
Central African Republic,Robusta,6720000.0,2009
Colombia,Arabica,485880000.0,2009
Costa Rica,Arabica,88620000.0,2009
Côte d'Ivoire,Robusta,119340000.0,2009
Democratic Republic of Congo,Robusta/Arabica,20760000.0,2009
El Salvador,Arabica,64500000.0,2009
Equatorial Guinea,Robusta,0.0,2009
Ethiopia,Arabica,409800000.0,2009
Gabon,Robusta,0.0,2009
Ghana,Robusta,1140000.0,2009
Guatemala,Arabica/Robusta,230100000.0,2009
Guinea,Robusta,29940000.0,2009
Guyana,Robusta,540000.0,2009
Honduras,Arabica,216180000.0,2009
India,Robusta/Arabica,289620000.0,2009
Jamaica,Arabica,1500000.0,2009
Kenya,Arabica,37800000.0,2009
Lao People's Democratic Republic,Robusta,26040000.0,2009
Liberia,Robusta,780000.0,2009
Mexico,Arabica/Robusta,246540000.0,2009
Nepal,Arabica,60000.0,2009
Nicaragua,Arabica,112260000.0,2009
Nigeria,Robusta,2040000.0,2009
Panama,Arabica,8280000.0,2009
Sierra Leone,Robusta,5460000.0,2009
Sri Lanka,Robusta/Arabica,1920000.0,2009
Thailand,Robusta/Arabica,47700000.0,2009
Togo,Robusta,12120000.0,2009
Trinidad & Tobago,Robusta,660000.0,2009
Uganda,Robusta/Arabica,173640000.0,2009
Venezuela,Arabica,72840000.0,2009
Viet Nam,Robusta/Arabica,1069500000.0,2009
Yemen,Arabica,8100000.0,2009
